year,score,votes,budget,gross,runtime,PG,PG-13,R,Action,Adventure,Comedy,Crime,Drama,Horror
1982,5.3,1200.0,6000000.0,6062898.0,93.0,0,0,1,0,0,1,0,0,0
1982,7.7,3900.0,20000000.0,36299720.0,82.0,0,0,1,0,0,1,0,0,0
1982,5.1,838.0,20000000.0,12408066.0,121.0,0,0,1,0,0,0,1,0,0
1982,3.9,653.0,19000000.0,2279543.0,110.0,1,0,0,0,0,1,0,0,0
1982,6.2,895.0,20000000.0,6968359.0,108.0,1,0,0,0,0,1,0,0,0
1982,6.1,460.0,20000000.0,3355948.0,98.0,0,0,1,1,0,0,0,0,0
1982,5.7,253.0,20000000.0,19739822.5,96.0,0,0,1,0,0,0,1,0,0
1982,3.8,651.0,10000.0,19739822.5,98.0,0,0,1,0,0,1,0,0,0
1982,7.0,240.0,20000000.0,19739822.5,80.0,1,0,0,0,0,0,0,1,0
1982,6.7,75.0,435000.0,19739822.5,90.0,1,0,0,0,0,1,0,0,0
1982,6.8,336.0,20000000.0,777087.0,106.0,0,0,1,0,0,1,0,0,0
1983,8.3,766000.0,25000000.0,65884703.0,170.0,0,0,1,0,0,0,1,0,0
1983,7.1,78000.0,10000000.0,25697647.0,91.0,1,0,0,0,0,0,1,0,0
1983,8.3,973000.0,32500000.0,475106177.0,131.0,1,0,0,1,0,0,0,0,0
1983,6.8,83000.0,6200000.0,63541777.0,99.0,0,0,1,0,0,1,0,0,0
1983,7.4,100000.0,15000000.0,61399552.0,98.0,0,0,1,0,1,0,0,0,0
1983,7.5,141000.0,15000000.0,90404800.0,116.0,0,0,1,0,0,1,0,0,0
1983,5.0,66000.0,39000000.0,59950623.0,125.0,1,0,0,1,0,0,0,0,0
1983,7.2,34000.0,8000000.0,56399659.0,105.0,0,0,1,0,0,1,0,0,0
1983,4.7,15000.0,22000000.0,64892670.0,93.0,1,0,0,0,0,0,0,1,0
1983,3.7,41000.0,20500000.0,87987055.0,99.0,1,0,0,0,1,0,0,0,0
1983,6.7,75000.0,9700000.0,21017849.0,110.0,0,0,1,0,0,0,0,0,1
1983,6.3,28000.0,350000.0,19739822.5,84.0,0,0,1,0,0,0,0,0,1
1983,6.2,50000.0,4000000.0,92921203.0,95.0,0,0,1,0,0,0,0,1,0
1983,7.1,93000.0,12000000.0,79567667.0,114.0,1,0,0,1,0,0,0,0,0
